name,duplicate_flag
Elsie,FALSE
Edward,FALSE
William,FALSE
Robert,FALSE
Annie,FALSE
Katie,FALSE
Alma,FALSE
Thelma,FALSE
Ellen,FALSE
Rebecca,FALSE
Estella,FALSE
Corine,FALSE
Margie,FALSE
Emmie,FALSE
Myrtis,FALSE
Pinkie,FALSE
Myrtie,FALSE
Jeanette,FALSE
Rubie,FALSE
Maud,FALSE
Trudie,FALSE
Barbara,FALSE
Glennie,FALSE
Lassie,FALSE
Liza,FALSE
Hettie,FALSE
Iona,FALSE
Lorraine,FALSE
Willie,FALSE
Fannie,FALSE
Sarah,FALSE
Myrtle,FALSE
Rosie,FALSE
Lillian,FALSE
Nellie,FALSE
Mamie,FALSE
Edna,FALSE
Evelyn,FALSE
Laura,FALSE
Mabel,FALSE
Josie,FALSE
Pearlie,FALSE
Rachel,FALSE
Era,FALSE
Bettie,FALSE
Jean,FALSE
Anne,FALSE
Lucinda,FALSE
Dessie,FALSE
Linnie,FALSE
Marion,FALSE
Dovie,FALSE
Ira,FALSE
Ossie,FALSE
Abbie,FALSE
Clyde,FALSE
Goldie,FALSE
Lenora,FALSE
Aline,FALSE
Gennie,FALSE
Vinnie,FALSE
Exie,FALSE
Tressie,FALSE
Joe,FALSE
Louis,FALSE
Alfred,FALSE
Julius,FALSE
Sidney,FALSE
Nelson,FALSE
Isaac,FALSE
Jimmy,FALSE
King,FALSE
Porter,FALSE
Tommy,FALSE
Cleo,FALSE
Dennis,FALSE
Gerald,FALSE
Moses,FALSE
Green,FALSE
Luke,FALSE
Richard,FALSE
Clarence,FALSE
Ernest,FALSE
Ralph,FALSE
Emmett,FALSE
Dave,FALSE
Harvey,FALSE
Ray,FALSE
Simon,FALSE
Leslie,FALSE
Wilson,FALSE
Emmitt,FALSE
Gordon,FALSE
Hollis,FALSE
Adolphus,FALSE
Claud,FALSE
Clayton,FALSE
Dewey,FALSE
Lamar,FALSE
Ruth,FALSE
Marie,FALSE
Elizabeth,FALSE
Velma,FALSE
Eva,FALSE
Dora,FALSE
Lula,FALSE
Bernice,FALSE
Eula,FALSE
Daisy,FALSE
Addie,FALSE
Sadie,FALSE
Christine,FALSE
Lizzie,FALSE
Rose,FALSE
Sylvia,FALSE
Lou,FALSE
Melba,FALSE
Camille,FALSE
Eddie,FALSE
Lonnie,FALSE
Beatrice,FALSE
Virgie,FALSE
Susie,FALSE
Lela,FALSE
Sallie,FALSE
Lucile,FALSE
Verna,FALSE
Easter,FALSE
Elma,FALSE
Lora,FALSE
Ava,FALSE
Zella,FALSE
Virgia,FALSE
Eugene,FALSE
David,FALSE
Harry,FALSE
Jesse,FALSE
Luther,FALSE
Claude,FALSE
Leonard,FALSE
Everett,FALSE
Archie,FALSE
Vernon,FALSE
Gilbert,FALSE
Morris,FALSE
Ted,FALSE
Austin,FALSE
Clark,FALSE
Edwin,FALSE
Thurman,FALSE
Ben,FALSE
Lewis,FALSE
Allen,FALSE
Jimmie,FALSE
Don,FALSE
Wesley,FALSE
Buster,FALSE
Elijah,FALSE
Julia,FALSE
Agnes,FALSE
Katherine,FALSE
Samuel,FALSE
Miguel,FALSE
Albert,FALSE
Harold,FALSE
Virginia,FALSE
Louise,FALSE
Doris,FALSE
Kathleen,FALSE
Lena,FALSE
Muriel,FALSE
Jane,FALSE
Maxine,FALSE
Roberta,FALSE
Miriam,FALSE
Ada,FALSE
Gloria,FALSE
Flora,FALSE
Rosalie,FALSE
Cecile,FALSE
Aileen,FALSE
Lee,FALSE
Lenore,FALSE
Celia,FALSE
Ila,FALSE
Lydia,FALSE
Helen,FALSE
Anna,FALSE
Mae,FALSE
Ruby,FALSE
Emma,FALSE
Vivian,FALSE
Madeline,FALSE
Marcella,FALSE
Rosa,FALSE
Elaine,FALSE
Francis,FALSE
Lina,FALSE
Charles,FALSE
Walter,FALSE
Roy,FALSE
